City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,sona,45.4388,10.8255,16.29,93,0,1.54,IT,1717472129
345,rantauprapat,2.1,99.8333,30.31,66,100,1.18,ID,1717472130
346,altai,46.3722,96.2583,13.75,30,100,9.4,MN,1717472130
347,sume,-7.6717,-36.88,19.77,95,40,2.0,BR,1717472130
348,bondo,3.8146,23.6866,21.91,92,74,0.56,CD,1717472130
349,olonets,60.9847,32.9698,13.33,92,100,2.16,RU,1717472131
350,taltal,-25.4,-70.4833,15.53,83,100,1.84,CL,1717472131
351,obudu,6.6674,9.1716,23.09,97,71,1.82,NG,1717472131
352,jhingergacha,23.1131,89.0938,35.5,49,27,3.91,BD,1717472131
353,worcester,42.3334,-71.8328,16.85,80,41,0.86,US,1717472132
354,ak'ordat,15.5486,37.8867,33.36,25,22,0.59,ER,1717472132
355,kurgan,55.45,65.3333,13.3,96,77,4.47,RU,1717471862
356,benghazi,32.1167,20.0667,27.79,34,1,3.43,LY,1717471981
357,nyurba,63.2842,118.3319,19.84,65,100,1.99,RU,1717472133
358,yantzaza,-3.8278,-78.7594,18.47,99,55,0.05,EC,1717472133
359,daru,-9.0763,143.2092,28.3,69,64,3.51,PG,1717472050
360,minas de marcona,-15.2119,-75.1103,11.87,87,54,2.84,PE,1717472133
361,amga,60.8953,131.9608,15.75,32,25,5.82,RU,1717472134
362,atafu village,-8.5421,-172.5159,29.02,74,67,5.01,TK,1717472046
